2026-08-11 08:00:12 | admin | 192.168.1.20 | FAILED
2026-08-11 08:00:45 | admin | 192.168.1.20 | FAILED
2026-08-11 08:01:02 | irwin | 192.168.1.15 | SUCCESS
2026-08-11 08:02:19 | admin | 192.168.1.20 | FAILED
2026-08-11 08:03:00 | elena | 10.0.0.5 | SUCCESS
2026-08-11 08:05:12 | root | 192.168.1.50 | FAILED
2026-08-11 08:05:14 | root | 192.168.1.50 | FAILED
2026-08-11 08:05:17 | admin | 192.168.1.50 | FAILED
2026-08-11 08:05:20 | admin | 192.168.1.50 | FAILED
2026-08-11 08:05:22 | user1 | 192.168.1.50 | FAILED
2026-08-11 08:05:25 | user2 | 192.168.1.50 | FAILED
2026-08-11 08:05:28 | test | 192.168.1.50 | FAILED
2026-08-11 08:05:30 | guest | 192.168.1.50 | FAILED
2026-08-11 08:05:33 | admin | 192.168.1.50 | FAILED
2026-08-11 08:05:36 | sysadmin | 192.168.1.50 | FAILED
2026-08-11 08:05:40 | oracle | 192.168.1.50 | FAILED
2026-08-11 08:05:42 | postgres | 192.168.1.50 | FAILED
2026-08-11 08:05:45 | ftpuser | 192.168.1.50 | FAILED
2026-08-11 08:05:48 | support | 192.168.1.50 | FAILED
2026-08-11 08:05:50 | dev | 192.168.1.50 | FAILED
2026-08-11 08:05:55 | operator | 192.168.1.50 | FAILED
2026-08-11 08:10:01 | carlos | 10.0.0.12 | SUCCESS
2026-08-11 08:12:33 | irwin | 192.168.1.15 | SUCCESS
2026-08-11 08:15:10 | maria | 10.0.0.8 | FAILED
2026-08-11 08:15:40 | maria | 10.0.0.8 | SUCCESS
2026-08-11 08:18:22 | admin | 192.168.1.20 | SUCCESS
2026-08-11 08:20:00 | elena | 10.0.0.5 | SUCCESS
2026-08-11 08:22:15 | carlos | 10.0.0.12 | FAILED
2026-08-11 08:25:01 | carlos | 10.0.0.12 | SUCCESS
2026-08-11 08:30:00 | lucia | 192.168.1.88 | SUCCESS
